Company,Position,Level,Function,Industry
Nova Credit Limited,Data Scientist,Full-time,NIL,NIL
Lalamove,Data Scientist (Analytics-focused),Entry level,Engineering and Information Technology,"Marketing and Advertising, Internet Publishing, and Financial Services"
S.F. EXPRESS CO. LTD,Data Scientist,Associate,Engineering and Information Technology,"Transportation, Logistics and Storage"
Jobs via eFinancialCareers,"Data Scientist, Data Analytics, Deal Advisory",Entry level,Engineering and Information Technology,"IT Services and IT Consulting, Staffing and Recruiting, and Financial Services"
Jobs via eFinancialCareers,Data Scientist - Global MNC,Entry level,Engineering and Information Technology,"IT Services and IT Consulting, Staffing and Recruiting, and Financial Services"
Lalamove,"Data Scientist, Product",Entry level,Engineering and Information Technology,"Marketing and Advertising, Internet Publishing, and Financial Services"
Peoplebank,Data Scientist / Engineer,Entry level,Engineering and Information Technology,"IT Services and IT Consulting, Computer Software, and Telecommunications"
Manulife,"Senior Data Scientist, Data Analytics",Associate,Engineering and Information Technology,Financial Services
Hamlyn Williams,Data Science Lead,Entry level,Engineering and Information Technology,"IT Services and IT Consulting, Banking, and Financial Services"
Jobs via eFinancialCareers,Lead Data Scientist - Innovation and Data Lab - Senior Vice President,Associate,Engineering and Information Technology,"IT Services and IT Consulting, Staffing and Recruiting, and Financial Services"
Plangora - Web and Mobile Development,Flutter Developer,Full-time,NIL,NIL
Cowen Inc.,"Analyst, Data Analytics - Cowen Sustainable Investments",Associate,Analyst,Financial Services and Investment Management
Jobs via eFinancialCareers,Associate Data Science Consultant,Entry level,Information Technology,"IT Services and IT Consulting, Staffing and Recruiting, and Financial Services"
NM Group,Software Engineer,Full-time,NIL,NIL
OneEd Limited,Software Engineer,Full-time,NIL,NIL
ASTRI - Hong Kong Applied Science and Technology Research Institute,"Senior Lead Engineer / Lead Engineer, Machine Learning (Reference #: CTO/IOTSEN/IMV/2805/211122)",Associate,"Engineering, Information Technology, and Research",IT Services and IT Consulting
Asia Airfreight Terminal Co. Ltd.,Programmer are welcome,Entry level,Engineering and Information Technology,"Transportation, Logistics and Storage"
BTIG,"Software Developer, Analyst/Associate",Entry level,Engineering and Information Technology,"Banking, Financial Services, and Investment Management"
CLSA,"Software Engineer, Trading Applications Front End",Associate,Information Technology,"Capital Markets, Financial Services, and Investment Banking"
NEWSPRINT PRODUCTION GROUP LIMITED,Software Engineer / Developer,Full-time,NIL,NIL
Finverse Technologies,Full Stack Software Engineer (FinTech),Full-time,NIL,NIL
MoneySQ,Analyst Programmer / Programmer (Smartme Team),Entry level,Information Technology,IT Services and IT Consulting and Leasing Real Estate
BitMEX,Software Engineer - Market Risk,Associate,Engineering and Information Technology,Financial Services
